序号,交易对,卖量暴涨倍数,当日买量倍数,当日卖量倍数,买卖量比值,信号时未平仓量,建仓时未平仓量,未平仓量比率,买量加速度,信号时间,信号价,建仓日期,建仓具体时间,建仓5分钟时刻,建仓时多空比,建仓价,建仓涨幅%,平仓日期,平仓具体时间,平仓价,持仓小时数,盈亏百分比,建仓手续费,补仓手续费,平仓手续费,交易手续费合计,资金费,资金费次数,平均费率%,盈亏金额,扣交易费后,最终净盈亏,真实盈亏金额,余额,连续爆,2小时判断,12小时判断,平仓原因,基差%,杠杆倍数,仓位金额,是否有补仓,补仓价格,补仓后平均价,2h收盘价,2h涨幅%,2h最大跌幅%,12h收盘价,12h涨幅%,12h最大跌幅%,24h收盘价,24小时涨幅%,24h最大跌幅%,72h最大跌幅%,最大跌幅%,2小时最大涨幅%,24小时最大涨幅%,止盈阈值%,建仓时账户多空比,信号时账户多空比,多空比变化率,当前5m时间,当前5m收盘价,当前浮盈金额,当前浮盈百分比
339,ARIAUSDT,27.3,11.2,11.5,0.973,,,,0.0000,2026-01-07 09:00,0.086150,2026-01-07,2026-01-07 10:00:00,2026-01-07 10:00:00,1.44,0.087020,1.01%,2026-01-10,2026-01-10 10:00:00,0.085770,72.0,1.44%,0.3629,,0.3577,0.7206,-2.2904,18,0.0070%,26.06,25.34,27.63,27.63,16632.59,是,中（改成20%）,弱（12%）,max_hold_time,0.0000%,3.0,604.82,否,,,0.083780,-3.72%,5.63%,0.081790,-6.01%,6.88%,0.079690,-8.42%,10.49%,10.49%,10.49%,0.95%,,,1.4390,1.5484,0.9293,,,,
340,BANUSDT,25.4,34.8,42.4,0.822,,,,0.0000,2026-01-07 14:00,0.073630,2026-01-07,2026-01-07 15:00:00,2026-01-07 15:00:00,0.89,0.073400,-0.31%,2026-01-10,2026-01-10 15:00:00,0.075590,72.0,-2.98%,0.3447,,0.3550,0.6998,-3.6544,18,0.0118%,-51.43,-52.13,-48.48,-48.48,16584.12,否,中（改成20%）,弱（12%）,max_hold_time,0.0934%,3.0,574.58,否,,,0.074420,1.39%,0.68%,0.074040,0.87%,0.68%,0.073780,0.52%,0.68%,2.56%,2.56%,1.49%,,,0.8914,0.9354,0.9530,,,,
341,IOTAUSDT,111.9,57.7,44.7,1.292,,,,0.0000,2026-01-08 17:00,0.106900,2026-01-08,2026-01-08 18:00:00,2026-01-08 18:00:00,1.35,0.106200,-0.65%,2026-01-11,2026-01-11 18:00:00,0.099400,72.0,6.40%,0.3482,,0.3259,0.6742,0.0000,,,111.49,110.82,110.82,110.82,16694.93,是,中（改成20%）,弱（12%）,max_hold_time,0.0000%,3.0,580.41,否,,,0.104700,-1.41%,2.73%,0.105400,-0.75%,2.82%,0.106900,0.66%,3.58%,7.25%,7.25%,1.22%,,,1.3546,1.7809,0.7606,,,,
342,RLCUSDT,54.5,16.1,33.5,0.482,,,,0.0000,2026-01-08 04:00,0.690100,2026-01-08,2026-01-08 05:00:00,2026-01-08 05:00:00,2.35,0.690500,0.06%,2026-01-11,2026-01-11 05:00:00,0.691200,72.0,-0.10%,0.3308,,0.3312,0.6620,-1.4762,9,0.0099%,-1.68,-2.34,-0.86,-0.86,16694.07,是,中（改成20%）,弱（12%）,max_hold_time,-0.1355%,3.0,551.39,否,,,0.660400,-4.36%,4.69%,0.685800,-0.68%,4.69%,0.696600,0.88%,4.69%,4.69%,4.69%,0.36%,,,2.3456,2.3613,0.9934,,,,
343,LABUSDT,29.3,2.9,3.2,0.901,,,,0.0000,2026-01-08 12:00,0.152960,2026-01-08,2026-01-08 13:00:00,2026-01-08 13:00:00,0.75,0.154660,1.11%,2026-01-11,2026-01-11 13:00:00,0.134100,72.0,13.29%,0.3143,,0.2725,0.5868,0.0000,,,208.90,208.32,208.32,208.32,16902.39,是,中（改成20%）,弱（12%）,max_hold_time,0.4327%,3.0,523.82,否,,,0.147430,-4.67%,6.87%,0.142480,-7.88%,10.35%,0.136220,-11.92%,13.35%,16.22%,16.22%,1.51%,,,0.7507,0.7879,0.9528,,,,
344,IDUSDT,159.5,31.8,46.4,0.686,,,,0.0000,2026-01-10 07:00,0.088840,2026-01-10,2026-01-10 08:00:00,2026-01-10 08:00:00,0.95,0.089930,1.23%,2026-01-12,2026-01-12 00:00:00,0.078120,40.0,13.13%,0.4479,,0.3890,0.8369,50.5083,5,-0.4511%,294.07,293.23,242.73,242.73,17145.11,是,中（改成20%）,弱（12%）,btc_yesterday_yang_flatten_open,数据缺失,3.0,746.43,否,,,0.088940,-1.10%,5.62%,0.086120,-4.24%,5.62%,0.080400,-10.60%,12.98%,17.38%,14.18%,2.97%,,,0.9524,1.9815,0.4806,,,,
345,BELUSDT,79.4,140.9,122.3,1.153,,,,0.0000,2026-01-10 08:00,0.160900,2026-01-10,2026-01-10 09:00:00,2026-01-10 09:00:00,3.69,0.155200,-3.54%,2026-01-12,2026-01-12 00:00:00,0.137400,39.0,11.47%,0.4255,,0.3767,0.8021,-0.7285,4,0.0086%,243.98,243.18,243.91,243.91,17389.02,是,中（改成20%）,弱（12%）,btc_yesterday_yang_flatten_open,0.0000%,3.0,709.10,否,,,0.150100,-3.29%,4.51%,0.142700,-8.05%,8.25%,0.140000,-9.79%,13.02%,13.02%,13.02%,4.25%,,,3.6926,5.5660,0.6634,,,,
346,ZETAUSDT,61.6,15.7,21.5,0.730,,,,0.0000,2026-01-10 08:00,0.078840,2026-01-10,2026-01-10 09:00:00,2026-01-10 09:00:00,2.56,0.079150,0.39%,2026-01-12,2026-01-12 00:00:00,0.076350,39.0,3.54%,0.4042,,0.3899,0.7941,0.0000,,,71.49,70.70,70.70,70.70,17459.72,否,中（改成20%）,弱（12%）,btc_yesterday_yang_flatten_open,0.0000%,3.0,673.65,否,,,0.080000,1.07%,1.30%,0.079390,0.30%,1.30%,0.079430,0.35%,1.95%,6.53%,4.40%,1.25%,,,2.5625,2.6337,0.9730,,,,
347,NMRUSDT,53.9,58.8,50.6,1.162,"$5,646,677","$6,938,248",0.814,0.0000,2026-01-10 21:00,10.752000,2026-01-10,2026-01-10 22:00:00,2026-01-10 22:00:00,1.51,10.610000,-1.32%,2026-01-12,2026-01-12 00:00:00,9.899000,26.0,6.70%,0.3840,,0.3582,0.7422,0.0000,,,128.66,127.91,127.91,127.91,17587.64,是,中（改成20%）,弱（12%）,btc_yesterday_yang_flatten_open,-1.0401%,3.0,639.97,否,,,10.157000,-4.27%,7.76%,10.063000,-5.16%,7.76%,9.917000,-6.53%,7.76%,8.56%,8.00%,1.67%,,,1.5119,1.7640,0.8571,,,,
348,USTCUSDT,36.2,15.8,19.1,0.829,,,,0.0000,2026-01-10 09:00,0.007434,2026-01-10,2026-01-10 10:00:00,2026-01-10 10:00:00,1.38,0.007383,-0.69%,2026-01-12,2026-01-12 00:00:00,0.007012,38.0,5.03%,0.3648,,0.3464,0.7112,0.0000,,,91.65,90.94,90.94,90.94,17678.58,是,中（改成20%）,弱（12%）,btc_yesterday_yang_flatten_open,0.0000%,3.0,607.97,否,,,0.007227,-2.11%,2.75%,0.007107,-3.74%,4.79%,0.007182,-2.72%,4.82%,8.32%,6.37%,0.77%,,,1.3793,1.2671,1.0885,,,,
349,MUSDT,32.0,4.7,9.0,0.525,"$8,765,327","$8,437,788",1.039,0.0000,2026-01-10 13:00,1.520100,2026-01-10,2026-01-10 14:00:00,2026-01-10 14:00:00,0.73,1.545900,1.70%,2026-01-11,2026-01-11 02:00:00,1.716100,12.0,-11.01%,0.3465,,0.3847,0.7312,0.0000,,,-190.77,-191.50,-191.50,-191.50,17487.08,是,中（改成20%）,弱（12%）,early_stop_loss_12h,0.0000%,3.0,577.57,否,,,1.679000,8.61%,1.80%,1.716100,11.01%,1.80%,1.704600,,1.80%,1.80%,1.80%,9.97%,,,0.7259,0.7185,1.0103,,,,
350,EPICUSDT,26.9,25.3,30.3,0.835,,,,0.0000,2026-01-08 09:00,0.728100,2026-01-08,2026-01-08 10:00:00,2026-01-08 10:00:00,1.24,0.728600,0.07%,2026-01-10,2026-01-10 03:00:00,0.648454,41.0,11.00%,0.3292,,0.2930,0.6222,0.0000,,,181.07,180.45,180.45,180.45,17667.52,否,中（改成20%）,弱（12%）,take_profit,-0.2208%,3.0,548.69,否,,,0.723500,-0.70%,2.55%,0.709200,-2.66%,3.38%,0.683200,-6.23%,7.10%,19.09%,11.43%,1.21%,,11.0%,1.2401,1.0768,1.1517,,,,
351,INITUSDT,206.6,337.6,293.3,1.151,"$1,870,316","$2,879,880",0.649,0.0000,2026-01-11 02:00,0.096700,2026-01-11,2026-01-11 03:00:00,2026-01-11 03:00:00,2.15,0.096900,0.21%,2026-01-12,2026-01-12 00:00:00,0.086900,21.0,10.32%,0.4054,,0.3636,0.7690,0.0000,,,209.20,208.43,208.43,208.43,17875.95,是,中（改成20%）,弱（12%）,btc_yesterday_yang_flatten_open,0.0000%,3.0,675.71,否,,,0.091800,-5.26%,5.68%,0.089600,-7.53%,8.46%,0.088900,,11.97%,16.20%,11.97%,0.41%,,,2.1476,2.1676,0.9908,,,,
352,HYPERUSDT,129.0,277.5,174.5,1.590,"$2,104,401","$3,598,945",0.585,0.0000,2026-01-11 00:00,0.142000,2026-01-11,2026-01-11 01:00:00,2026-01-11 01:00:00,1.50,0.142100,0.07%,2026-01-11,2026-01-11 13:00:00,0.148700,12.0,-4.64%,0.3852,,0.4030,0.7882,0.0000,,,-89.44,-90.23,-90.23,-90.23,17785.72,是,中（改成20%）,弱（12%）,early_stop_loss_12h,-2.2727%,3.0,641.93,否,,,0.157200,10.63%,1.76%,0.148700,4.64%,1.76%,0.140500,,2.46%,6.05%,1.76%,12.32%,,,1.5038,1.8337,0.8201,,,,
353,API3USDT,94.4,64.3,59.7,1.076,"$3,817,881","$5,905,104",0.647,0.0000,2026-01-11 09:00,0.496700,2026-01-11,2026-01-11 10:00:00,2026-01-11 10:00:00,1.36,0.500000,0.66%,2026-01-12,2026-01-12 00:00:00,0.471500,14.0,5.70%,0.3824,,0.3606,0.7431,11.9110,3,-0.2076%,109.00,108.25,96.34,96.34,17882.06,是,中（改成20%）,弱（12%）,btc_yesterday_yang_flatten_open,-2.3374%,3.0,637.41,否,,,0.502500,0.50%,1.52%,0.467900,-6.42%,7.52%,0.448500,,11.02%,11.64%,7.56%,3.40%,,,1.3607,1.5094,0.9015,,,,
354,RVNUSDT,60.5,31.7,39.9,0.795,"$2,861,275","$3,269,999",0.875,0.0000,2026-01-11 17:00,0.008100,2026-01-11,2026-01-11 18:00:00,2026-01-11 18:00:00,1.70,0.008260,1.98%,2026-01-12,2026-01-12 00:00:00,0.007650,6.0,7.38%,0.3633,,0.3365,0.6998,0.0000,,,134.16,133.46,133.46,133.46,18015.52,是,中（改成20%）,中（保持20%）,btc_yesterday_yang_flatten_open,0.0000%,3.0,605.54,否,,,0.007800,-5.57%,5.93%,0.007760,-6.05%,8.96%,0.007500,,10.90%,11.14%,8.60%,1.09%,,,1.6991,1.9647,0.8648,,,,
355,SUPERUSDT,30.3,37.4,49.2,0.761,"$3,592,642","$3,610,815",0.995,0.0000,2026-01-11 01:00,0.214900,2026-01-11,2026-01-11 02:00:00,2026-01-11 02:00:00,1.69,0.214700,-0.09%,2026-01-12,2026-01-12 00:00:00,0.214700,22.0,0.00%,0.3452,,0.3452,0.6903,0.0000,,,0.00,-0.69,-0.69,-0.69,18014.83,否,中（改成20%）,弱（12%）,btc_yesterday_yang_flatten_open,-0.0659%,3.0,575.27,否,,,0.215000,0.14%,0.98%,0.216200,0.70%,0.98%,0.212400,,3.03%,4.10%,1.82%,0.14%,,,1.6925,1.7525,0.9658,,,,
356,DEXEUSDT,29.9,52.2,27.9,1.867,"$2,454,253","$2,635,317",0.931,0.0000,2026-01-11 15:00,3.760000,2026-01-11,2026-01-11 16:00:00,2026-01-11 16:00:00,1.91,3.783000,0.61%,2026-01-12,2026-01-12 00:00:00,3.548000,8.0,6.21%,0.3279,,0.3075,0.6354,0.0000,,,101.85,101.21,101.21,101.21,18116.04,是,中（改成20%）,中（保持20%）,btc_yesterday_yang_flatten_open,-0.0099%,3.0,546.50,否,,,3.805000,0.58%,1.27%,3.582000,-5.31%,10.44%,3.585000,,10.44%,11.23%,10.44%,3.09%,,,1.9053,2.0441,0.9321,,,,
357,SPELLUSDT,29.7,3.8,12.4,0.309,"$1,748,070","$1,853,304",0.943,0.0000,2026-01-11 18:00,0.000281,2026-01-11,2026-01-11 19:00:00,2026-01-11 19:00:00,1.71,0.000278,-1.21%,2026-01-13,2026-01-13 00:00:00,0.000266,29.0,4.14%,0.5435,,0.5210,1.0645,0.0000,,,112.49,111.43,111.43,111.43,18227.47,是,中（改成20%）,弱（12%）,btc_yesterday_yang_flatten_open,-0.0094%,3.0,905.80,否,,,0.000272,-2.05%,2.95%,0.000272,-2.02%,4.64%,0.000269,-3.10%,4.64%,4.64%,4.64%,1.30%,,,1.7093,2.0750,0.8238,,,,
358,BIOUSDT,27.8,33.6,30.8,1.088,"$6,887,632","$6,880,995",1.001,0.0000,2026-01-11 00:00,0.043740,2026-01-11,2026-01-11 01:00:00,2026-01-11 01:00:00,0.96,0.043710,-0.07%,2026-01-13,2026-01-13 00:00:00,0.041550,47.0,4.94%,0.5163,,0.4908,1.0071,6.4668,11,-0.0228%,127.57,126.56,120.10,120.10,18347.57,否,中（改成20%）,弱（12%）,btc_yesterday_yang_flatten_open,-0.0556%,3.0,860.51,否,,,0.043760,0.11%,0.34%,0.044180,1.08%,0.34%,0.042950,-1.74%,3.34%,6.57%,3.34%,0.87%,,,0.9616,0.9139,1.0522,,,,
359,REDUSDT,26.8,66.9,39.8,1.683,"$1,946,940","$2,358,857",0.825,0.0000,2026-01-11 18:00,0.267800,2026-01-11,2026-01-11 19:00:00,2026-01-11 19:00:00,1.32,0.265300,-0.93%,2026-01-13,2026-01-13 00:00:00,0.253800,29.0,4.33%,0.4905,,0.4692,0.9597,0.0000,,,106.31,105.35,105.35,105.35,18452.91,是,中（改成20%）,弱（12%）,btc_yesterday_yang_flatten_open,-0.2842%,3.0,817.49,否,,,0.262800,-0.94%,2.07%,0.258500,-2.56%,2.90%,0.255700,-3.62%,6.07%,6.07%,2.53%,2.60%,,,1.3154,1.5967,0.8238,,,,
360,AKTUSDT,25.9,33.8,42.4,0.798,,,,0.0000,2026-01-10 08:00,0.470300,2026-01-10,2026-01-10 09:00:00,2026-01-10 09:00:00,1.69,0.476400,1.30%,2026-01-13,2026-01-13 00:00:00,0.469500,63.0,1.45%,0.4660,,0.4592,0.9252,101.9557,15,-0.2917%,33.74,32.82,-69.14,-69.14,18383.78,是,中（改成20%）,弱（12%）,btc_yesterday_yang_flatten_open,数据缺失,3.0,776.61,否,,,0.477000,0.13%,2.14%,0.483000,1.39%,2.14%,0.512800,7.64%,2.14%,3.11%,2.14%,3.78%,,,1.6889,2.1686,0.7788,,,,
361,PUMPBTCUSDT,24.3,35.7,16.6,2.153,"$922,001","$918,643",1.004,0.0000,2026-01-10 16:00,0.028980,2026-01-10,2026-01-10 17:00:00,2026-01-10 17:00:00,4.01,0.029080,0.35%,2026-01-13,2026-01-13 00:00:00,0.027700,55.0,4.75%,0.4427,,0.4217,0.8643,-0.6825,4,0.0077%,105.03,104.17,104.85,104.85,18488.63,否,中（改成20%）,弱（12%）,btc_yesterday_yang_flatten_open,0.0000%,3.0,737.78,否,,,0.028800,-0.96%,1.65%,0.028250,-2.85%,4.68%,0.028020,-3.65%,4.68%,5.88%,3.54%,0.38%,,,4.0100,3.7506,1.0692,,,,
362,1000WHYUSDT,23.9,7.2,7.1,1.025,,,,0.0000,2026-01-10 08:00,0.000018,2026-01-10,2026-01-10 09:00:00,2026-01-10 09:00:00,5.49,0.000019,2.16%,2026-01-10,2026-01-10 12:00:00,0.000022,3.0,-18.00%,0.4205,,0.4962,0.9168,0.0000,,,-378.48,-379.40,-379.40,-379.40,18109.23,否,中（改成20%）,中（保持20%）,stop_loss,0.3022%,3.0,700.89,否,,,0.000019,1.06%,2.65%,0.000026,36.51%,2.65%,0.000026,,2.65%,5.29%,2.65%,5.82%,,,5.4935,5.6578,0.9710,,,,
363,FIDAUSDT,23.1,14.5,7.0,2.055,"$1,855,952","$1,846,601",1.005,0.0000,2026-01-11 12:00,0.036670,2026-01-11,2026-01-11 13:00:00,2026-01-11 13:00:00,1.82,0.036620,-0.14%,2026-01-13,2026-01-13 00:00:00,0.034790,35.0,5.00%,0.4092,,0.3887,0.7979,1.7580,4,-0.0215%,102.23,101.43,99.68,99.68,18208.91,否,中（改成20%）,弱（12%）,btc_yesterday_yang_flatten_open,-0.0082%,3.0,681.92,否,,,0.036640,0.05%,0.57%,0.035230,-3.80%,6.14%,0.034980,-4.48%,6.14%,6.25%,6.14%,0.49%,,,1.8153,1.6688,1.0878,,,,
364,LYNUSDT,22.9,6.6,7.4,0.899,"$5,318,505","$5,190,297",1.025,0.0000,2026-01-10 21:00,0.108030,2026-01-10,2026-01-10 22:00:00,2026-01-10 22:00:00,0.88,0.100000,-7.43%,2026-01-13,2026-01-13 00:00:00,0.092700,50.0,7.30%,0.3887,,0.3603,0.7490,-4.3961,4,0.0565%,141.87,141.12,145.52,145.52,18354.43,是,中（推断20%）,未知,btc_yesterday_yang_flatten_open,0.0000%,3.0,647.83,否,,,0.099040,-0.96%,13.08%,0.102270,2.27%,13.08%,0.094110,-5.89%,13.08%,15.86%,13.08%,8.20%,,,0.8825,0.6407,1.3774,,,,
365,SFPUSDT,22.8,54.9,49.5,1.108,,,,0.0000,2026-01-07 23:00,0.345000,2026-01-08,2026-01-08 00:00:00,2026-01-08 00:00:00,2.50,0.345500,0.14%,2026-01-13,2026-01-13 00:00:00,0.357000,120.0,-3.33%,0.3693,,0.3816,0.7508,0.0000,,,-61.45,-62.21,-62.21,-62.21,18292.22,否,中（改成20%）,弱（12%）,btc_yesterday_yang_flatten_open,0.0000%,3.0,615.44,否,,,0.345900,0.12%,1.45%,0.343300,-0.64%,2.81%,0.361700,4.69%,2.81%,2.81%,2.81%,0.52%,,,2.4965,2.4200,1.0316,,,,
366,BLESSUSDT,22.2,16.2,14.8,1.090,,,,0.0000,2026-01-08 11:00,0.012070,2026-01-08,2026-01-08 12:00:00,2026-01-08 12:00:00,2.52,0.011690,-3.15%,2026-01-13,2026-01-13 00:00:00,0.011680,108.0,0.09%,0.3508,,0.3505,0.7013,-14.4144,27,0.0304%,1.50,0.80,15.21,15.21,18307.44,是,中（改成20%）,弱（12%）,btc_yesterday_yang_flatten_open,0.2132%,3.0,584.66,否,,,0.011950,2.22%,7.96%,0.012060,3.17%,7.96%,0.011890,1.71%,7.96%,7.96%,7.96%,6.07%,,,2.5224,3.2176,0.7839,,,,
367,ASRUSDT,16.7,42.2,37.5,1.126,,,,0.0000,2026-01-08 13:00,1.565000,2026-01-08,2026-01-08 14:00:00,2026-01-08 14:00:00,1.60,1.577000,0.77%,2026-01-13,2026-01-13 00:00:00,1.591000,106.0,-0.89%,0.3333,,0.3362,0.6695,-2.1662,26,0.0050%,-14.79,-15.46,-13.30,-13.30,18294.14,否,中（改成20%）,弱（12%）,btc_yesterday_yang_flatten_open,0.0000%,3.0,555.43,否,,,1.540000,-2.35%,2.73%,1.534000,-2.73%,3.68%,1.543000,-2.16%,3.68%,3.68%,3.68%,0.57%,,,1.6042,1.7525,0.9154,,,,
368,AGLDUSDT,68.6,19.1,27.0,0.706,"$1,757,509","$2,147,824",0.818,0.0000,2026-01-16 11:00,0.306100,2026-01-16,2026-01-16 12:00:00,2026-01-16 12:00:00,2.00,0.302700,-1.11%,2026-01-19,2026-01-19 12:00:00,0.300400,72.0,0.76%,0.5488,,0.5447,1.0935,3.7849,9,-0.0153%,20.85,19.76,15.97,15.97,18310.11,是,中（改成20%）,弱（12%）,max_hold_time,-0.0722%,3.0,914.71,否,,,0.315600,4.26%,0.89%,0.306100,1.12%,0.96%,0.312500,3.24%,1.19%,5.45%,5.45%,5.88%,,,1.9985,1.9709,1.0140,,,,
369,RVVUSDT,38.5,26.8,19.1,1.405,"$3,851,626","$3,811,274",1.011,0.0000,2026-01-16 02:00,0.003810,2026-01-16,2026-01-16 03:00:00,2026-01-16 03:00:00,1.74,0.003818,0.21%,2026-01-19,2026-01-19 00:00:00,0.003398,69.0,11.00%,0.5214,,0.4640,0.9854,-6.4053,17,0.0145%,286.76,285.78,292.18,292.18,18602.29,否,中（改成20%）,弱（12%）,take_profit,0.0000%,3.0,868.97,否,,,0.003753,-1.70%,5.24%,0.003813,-0.13%,5.24%,0.003903,2.23%,5.24%,46.49%,46.49%,0.84%,,11.0%,1.7442,1.6874,1.0337,,,,
370,PORTALUSDT,35.3,11.7,11.9,0.989,"$1,305,548","$1,430,184",0.913,0.0000,2026-01-16 11:00,0.021910,2026-01-16,2026-01-16 12:00:00,2026-01-16 12:00:00,2.46,0.021880,-0.14%,2026-01-19,2026-01-19 00:00:00,0.019473,60.0,11.00%,0.4953,,0.4408,0.9361,0.0000,,,272.42,271.49,271.49,271.49,18873.78,否,中（改成20%）,弱（12%）,take_profit,-0.1914%,3.0,825.52,否,,,0.021840,-0.18%,2.15%,0.022050,0.78%,2.15%,0.021860,-0.09%,2.15%,21.25%,21.25%,1.05%,,11.0%,2.4614,2.8551,0.8621,,,,
371,NAORISUSDT,34.1,20.1,31.1,0.645,"$1,804,420","$1,449,463",1.245,0.0000,2026-01-16 05:00,0.032370,2026-01-16,2026-01-16 06:00:00,2026-01-16 06:00:00,2.15,0.032090,-0.86%,2026-01-16,2026-01-16 18:00:00,0.028560,12.0,11.00%,0.4705,,0.4188,0.8893,-0.3529,3,0.0050%,258.80,257.91,258.27,258.27,19132.05,否,中（改成20%）,弱（12%）,take_profit,0.0000%,3.0,784.25,否,,,0.031970,-0.37%,3.86%,0.028330,-11.72%,15.86%,0.029420,,15.86%,28.67%,15.86%,2.68%,,11.0%,2.1496,1.6392,1.3114,,,,
372,XAIUSDT,33.9,112.8,45.7,2.467,"$1,935,361","$2,654,234",0.729,0.0000,2026-01-16 03:00,0.016940,2026-01-16,2026-01-16 04:00:00,2026-01-16 04:00:00,1.87,0.017300,2.13%,2026-01-16,2026-01-16 16:00:00,0.019300,12.0,-11.56%,0.4783,,0.5336,1.0119,0.0000,,,-276.47,-277.48,-277.48,-277.48,18854.56,是,中（改成20%）,弱（12%）,early_stop_loss_12h,-0.1895%,3.0,797.16,否,,,0.017280,-0.12%,4.57%,0.019300,11.56%,4.57%,0.019790,,4.57%,16.47%,4.57%,0.81%,,,1.8719,2.3636,0.7920,,,,
373,AUSDT,33.6,21.0,13.2,1.586,"$4,720,307","$5,387,341",0.876,0.0000,2026-01-16 02:00,0.161300,2026-01-16,2026-01-16 03:00:00,2026-01-16 03:00:00,1.68,0.161100,-0.12%,2026-01-16,2026-01-16 15:00:00,0.143379,12.0,11.00%,0.4700,,0.4183,0.8882,-0.3525,3,0.0050%,258.48,257.60,257.95,257.95,19112.51,否,中（改成20%）,弱（12%）,take_profit,-0.0960%,3.0,783.29,否,,,0.158000,-1.92%,2.73%,0.139300,-13.53%,16.26%,0.127100,,23.90%,36.50%,16.26%,0.43%,,11.0%,1.6774,1.4944,1.1225,,,,
374,1INCHUSDT,27.6,73.5,115.0,0.639,"$3,959,376","$3,951,696",1.002,0.0000,2026-01-16 00:00,0.153700,2026-01-16,2026-01-16 01:00:00,2026-01-16 01:00:00,1.85,0.153500,-0.13%,2026-01-19,2026-01-19 00:00:00,0.136615,71.0,11.00%,0.4777,,0.4252,0.9029,-1.5663,8,0.0082%,262.74,261.84,263.40,263.40,19375.92,否,中（改成20%）,弱（12%）,take_profit,-0.0837%,3.0,796.18,否,,,0.154100,0.39%,1.04%,0.154300,0.52%,1.82%,0.161200,5.02%,1.82%,12.05%,12.05%,0.52%,,11.0%,1.8547,2.1309,0.8704,,,,
375,USTCUSDT,27.0,26.5,20.2,1.313,"$2,275,043","$2,417,490",0.941,0.0000,2026-01-16 19:00,0.007471,2026-01-16,2026-01-16 20:00:00,2026-01-16 20:00:00,1.48,0.007487,0.21%,2026-01-19,2026-01-19 00:00:00,0.006663,52.0,11.00%,0.4538,,0.4039,0.8577,-1.3828,13,0.0047%,249.60,248.75,250.13,250.13,19626.04,否,中（改成20%）,弱（12%）,take_profit,-0.1395%,3.0,756.37,否,,,0.007314,-2.31%,3.74%,0.007261,-3.02%,4.35%,0.007362,-1.67%,4.35%,24.68%,24.68%,0.84%,,11.0%,1.4789,1.8852,0.7845,,,,
376,BLUAIUSDT,26.9,2.9,3.3,0.890,"$2,185,854","$2,085,251",1.048,0.0000,2026-01-16 05:00,0.005962,2026-01-16,2026-01-16 06:00:00,2026-01-16 06:00:00,2.73,0.006086,2.08%,2026-01-16,2026-01-16 18:00:00,0.006374,12.0,-4.73%,0.4311,,0.4515,0.8827,-0.3234,3,0.0050%,-102.01,-102.89,-102.57,-102.57,19523.47,是,中（改成20%）,弱（12%）,early_stop_loss_12h,0.0000%,3.0,718.56,否,,,0.006011,-1.23%,7.57%,0.006374,4.73%,7.57%,0.006389,,7.57%,16.74%,7.57%,1.87%,,,2.7341,2.8745,0.9512,,,,
377,HANAUSDT,17.1,20.6,9.4,2.202,"$2,684,229","$3,245,744",0.827,0.0000,2026-01-16 03:00,0.012270,2026-01-16,2026-01-16 04:00:00,2026-01-16 04:00:00,3.01,0.012310,0.33%,2026-01-16,2026-01-16 11:00:00,0.014526,7.0,-18.00%,0.4281,,0.5051,0.9332,0.0000,,,-385.25,-386.18,-386.18,-386.18,19137.29,否,中（改成20%）,中（保持20%）,stop_loss,0.0000%,3.0,713.43,否,,,0.012320,0.08%,2.11%,0.013720,11.45%,3.90%,0.011880,,7.96%,43.14%,3.90%,3.17%,,,3.0112,4.3879,0.6863,,,,
378,RAREUSDT,114.8,271.3,258.8,1.048,"$1,936,909","$3,049,341",0.635,0.0000,2026-01-17 20:00,0.028790,2026-01-17,2026-01-17 21:00:00,2026-01-17 21:00:00,1.64,0.029060,0.94%,2026-01-18,2026-01-18 09:00:00,0.030420,12.0,-4.68%,0.4165,,0.4360,0.8524,0.0000,,,-97.45,-98.31,-98.31,-98.31,19038.98,是,中（改成20%）,弱（12%）,early_stop_loss_12h,-2.4166%,3.0,694.12,否,,,0.029550,1.69%,3.65%,0.030420,4.68%,5.51%,0.028040,,6.71%,17.83%,5.51%,12.63%,,,1.6364,2.1837,0.7494,,,,
379,DMCUSDT,58.6,8.3,11.9,0.696,,,,0.0000,2026-01-17 10:00,0.001199,2026-01-17,2026-01-17 11:00:00,2026-01-17 11:00:00,2.47,0.001207,0.67%,2026-01-19,2026-01-19 00:00:00,0.000954,37.0,21.00%,0.3956,,0.3126,0.7082,0.0000,,,415.43,414.72,414.72,414.72,19453.71,是,中（改成20%）,弱（12%）,take_profit,0.0000%,3.0,659.41,否,,,0.001166,-3.40%,7.04%,0.001169,-3.15%,7.87%,0.001138,-5.72%,7.87%,26.18%,21.21%,0.91%,,21.0%,2.4722,4.0352,0.6127,,,,
380,VANRYUSDT,49.5,12.8,36.8,0.349,"$1,931,643","$1,931,170",1.000,0.0000,2026-01-17 21:00,0.009076,2026-01-17,2026-01-17 22:00:00,2026-01-17 22:00:00,2.36,0.009087,0.12%,2026-01-18,2026-01-18 10:00:00,0.010599,12.0,-16.64%,0.3759,,0.4384,0.8143,-0.9731,3,0.0173%,-312.70,-313.52,-312.54,-312.54,19141.16,否,中（改成20%）,弱（12%）,early_stop_loss_12h,0.0000%,3.0,626.44,否,,,0.009000,-0.96%,1.85%,0.010599,16.64%,1.85%,0.010372,,1.85%,4.04%,1.85%,0.72%,,,2.3591,2.4235,0.9734,,,,
